scenario_id,family,runs,pass,fail,collision,brake,mixed_outcome,first_brake_s_mean,first_brake_s_std,first_brake_s_min,first_brake_s_max,first_brake_s_range,brake_gap_m_mean,brake_gap_m_std,brake_gap_m_min,brake_gap_m_max,brake_gap_m_range,minimum_bumper_gap_m_mean,minimum_bumper_gap_m_std,minimum_bumper_gap_m_min,minimum_bumper_gap_m_max,minimum_bumper_gap_m_range,maximum_deceleration_mps2_mean,maximum_deceleration_mps2_std,maximum_deceleration_mps2_min,maximum_deceleration_mps2_max,maximum_deceleration_mps2_range,maximum_abs_jerk_mps3_mean,maximum_abs_jerk_mps3_std,maximum_abs_jerk_mps3_min,maximum_abs_jerk_mps3_max,maximum_abs_jerk_mps3_range,target_confirmed_rate_pct_mean,target_confirmed_rate_pct_std,target_confirmed_rate_pct_min,target_confirmed_rate_pct_max,target_confirmed_rate_pct_range,radar_target_hazard_match_rate_pct_mean,radar_target_hazard_match_rate_pct_std,radar_target_hazard_match_rate_pct_min,radar_target_hazard_match_rate_pct_max,radar_target_hazard_match_rate_pct_range
prop_barrel_right_1p30,prop,5,0,5,0,5,False,0.35,0.0,0.35,0.35,0.0,13.955,0.0,13.955,13.955,0.0,-3.169,0.0,-3.169,-3.169,0.0,10.82,0.0,10.82,10.82,0.0,139.856,0.0,139.856,139.856,0.0,16.36,0.0,16.36,16.36,0.0,100.0,0.0,100.0,100.0,0.0
prop_barrel_right_1p40,prop,5,0,5,0,5,False,0.8,0.0,0.8,0.8,0.0,6.459,0.0,6.459,6.459,0.0,-10.664,0.0,-10.664,-10.664,0.0,11.153,0.0,11.153,11.153,0.0,153.24,0.0,153.24,153.24,0.0,3.12,0.0,3.12,3.12,0.0,100.0,0.0,100.0,100.0,0.0
prop_box_right_1p40,prop,5,0,5,0,5,False,0.45,0.0,0.45,0.45,0.0,12.29,0.0,12.29,12.29,0.0,-4.834,0.0,-4.834,-4.834,0.0,10.722,0.0,10.722,10.722,0.0,135.984,0.0,135.984,135.984,0.0,19.3,0.0,19.3,19.3,0.0,100.0,0.0,100.0,100.0,0.0
prop_box_right_1p50,prop,5,0,5,0,5,False,0.65,0.0,0.65,0.65,0.0,8.9582,0.0003999999999997783,8.958,8.959,0.0009999999999994458,-8.1658,0.0004000000000004889,-8.166,-8.165,0.0010000000000012221,10.8462,0.03439999999999941,10.829,10.915,0.08599999999999852,140.912,1.3840000000000032,140.22,143.68,3.460000000000008,9.84,0.0,9.84,9.84,0.0,100.0,0.0,100.0,100.0,0.0
prop_streetbarrier_right_1p30,prop,5,0,5,0,5,False,0.65,0.0,0.65,0.65,0.0,8.958,0.0,8.958,8.958,0.0,-8.166,0.0,-8.166,-8.166,0.0,10.829,0.0,10.829,10.829,0.0,140.22,0.0,140.22,140.22,0.0,11.48,0.0,11.48,11.48,0.0,100.0,0.0,100.0,100.0,0.0
prop_streetbarrier_right_1p40,prop,5,0,5,0,5,False,0.7,0.0,0.7,0.7,0.0,8.125,0.0,8.125,8.125,0.0,-9.001,0.0,-9.001,-9.001,0.0,10.6,0.0,10.6,10.6,0.0,131.07,0.0,131.07,131.07,0.0,9.68,0.0,9.68,9.68,0.0,100.0,0.0,100.0,100.0,0.0
prop_trashcan_left_1p30,prop,5,0,5,0,5,False,0.4,0.0,0.4,0.4,0.0,13.123,0.0,13.123,13.123,0.0,-4.004,0.0,-4.004,-4.004,0.0,10.28,0.0,10.28,10.28,0.0,127.812,0.0,127.812,127.812,0.0,14.29,0.0,14.29,14.29,0.0,100.0,0.0,100.0,100.0,0.0
prop_trashcan_left_1p40,prop,5,0,5,0,5,False,0.9,0.0,0.9,0.9,0.0,4.793,0.0,4.793,4.793,0.0,-12.332,0.0,-12.332,-12.332,0.0,10.506,0.0,10.506,10.506,0.0,127.812,0.0,127.812,127.812,0.0,1.52,0.0,1.52,1.52,0.0,100.0,0.0,100.0,100.0,0.0
