scenario_id,family,runs,pass,fail,collision,brake,mixed_outcome,first_brake_s_mean,first_brake_s_std,first_brake_s_min,first_brake_s_max,first_brake_s_range,brake_gap_m_mean,brake_gap_m_std,brake_gap_m_min,brake_gap_m_max,brake_gap_m_range,minimum_bumper_gap_m_mean,minimum_bumper_gap_m_std,minimum_bumper_gap_m_min,minimum_bumper_gap_m_max,minimum_bumper_gap_m_range,maximum_deceleration_mps2_mean,maximum_deceleration_mps2_std,maximum_deceleration_mps2_min,maximum_deceleration_mps2_max,maximum_deceleration_mps2_range,maximum_abs_jerk_mps3_mean,maximum_abs_jerk_mps3_std,maximum_abs_jerk_mps3_min,maximum_abs_jerk_mps3_max,maximum_abs_jerk_mps3_range,target_confirmed_rate_pct_mean,target_confirmed_rate_pct_std,target_confirmed_rate_pct_min,target_confirmed_rate_pct_max,target_confirmed_rate_pct_range,radar_target_hazard_match_rate_pct_mean,radar_target_hazard_match_rate_pct_std,radar_target_hazard_match_rate_pct_min,radar_target_hazard_match_rate_pct_max,radar_target_hazard_match_rate_pct_range
ccrb_50_gap_60,CCRb,5,5,0,0,5,False,5.05,0.0,5.05,5.05,0.0,20.9188,0.0011661903789691448,20.918,20.921,0.0030000000000001137,7.9674,0.0010198039027186536,7.966,7.969,0.0030000000000001137,12.2008,0.04221089906647366,12.167,12.281,0.11400000000000077,241.9096,0.8755792596904027,241.16,243.576,2.415999999999997,37.68,0.0,37.68,37.68,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_50_gap_80,CCRb,5,5,0,0,5,False,6.5,0.0,6.5,6.5,0.0,20.7766,0.0010198039027188278,20.775,20.778,0.0030000000000001137,7.9664,0.0010198039027185142,7.965,7.968,0.0030000000000001137,10.176,0.15782268531488083,9.989,10.465,0.4759999999999991,203.3732,3.155970240670842,199.632,209.152,9.519999999999982,31.14,0.0,31.14,31.14,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_65_gap_20,CCRb,5,5,0,0,5,False,2.15,0.0,2.15,2.15,0.0,18.2194,0.016811900546934277,18.21,18.253,0.04299999999999926,5.1696,0.014263239463740569,5.161,5.198,0.03700000000000081,10.615,0.10298155174593181,10.523,10.767,0.24399999999999977,139.3876,5.058226471798192,133.64,146.38,12.740000000000009,97.67,0.0,97.67,97.67,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_65_gap_30,CCRb,5,5,0,0,5,False,2.55,0.0,2.55,2.55,0.0,24.5958,0.018356470248933745,24.577,24.631,0.053999999999998494,6.6974,0.027470711676256112,6.652,6.722,0.07000000000000028,11.0472,0.45090415833079206,10.371,11.775,1.404,263.0,93.90638121874359,203.338,450.32,246.982,93.75,0.0,93.75,93.75,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_65_gap_40,CCRb,5,5,0,0,5,False,3.01,0.019999999999999928,3.0,3.05,0.04999999999999982,28.4338,0.3079002435854831,27.818,28.588,0.7699999999999996,7.646,0.16850637970118515,7.309,7.733,0.4239999999999995,11.7218,0.3730487367623698,11.076,12.125,1.0489999999999995,217.84799999999998,36.78159698544913,144.552,240.642,96.09,94.34,0.0,94.34,94.34,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_65_gap_50,CCRb,5,5,0,0,5,False,3.55,0.0,3.55,3.55,0.0,28.9098,0.016424372134118768,28.897,28.939,0.04200000000000159,7.6064,0.009221713506718974,7.599,7.623,0.02400000000000002,10.3754,0.17021116297117522,10.202,10.696,0.4939999999999998,205.9172,122.76881916578003,133.64,450.32,316.68,52.99,0.0,52.99,52.99,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_65_gap_60,CCRb,5,5,0,0,5,False,4.1,0.0,4.1,4.1,0.0,28.9686,0.0013564659966252446,28.967,28.97,0.0030000000000001137,7.6402,0.0011661903789690839,7.639,7.642,0.0030000000000001137,10.6864,0.21195244749707384,10.361,10.886,0.5249999999999986,141.6268,6.604428647506165,133.64,148.306,14.666000000000025,46.88,0.0,46.88,46.88,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_65_gap_80,CCRb,5,5,0,0,5,False,5.25,0.0,5.25,5.25,0.0,28.206599999999998,0.0007999999999997343,28.206,28.208,0.0019999999999988916,7.2984,0.0004898979485567992,7.298,7.299,0.001000000000000334,10.282,0.0,10.282,10.282,0.0,177.1332,4.822577335823655,171.292,182.232,10.939999999999998,40.4,0.0,40.4,40.4,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_80_gap_20,CCRb,5,5,0,0,5,False,2.1,0.0,2.1,2.1,0.0,18.5594,0.0018547236990986492,18.558,18.563,0.004999999999999005,1.9566000000000001,0.0010198039027185404,1.955,1.958,0.0029999999999998916,11.101,0.0,11.101,11.101,0.0,146.3596,9.891200000000003,141.414,166.142,24.72800000000001,97.83,0.0,97.83,97.83,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_80_gap_30,CCRb,5,5,0,0,5,False,2.4,0.0,2.4,2.4,0.0,26.0964,0.0010198039027186885,26.095,26.098,0.0030000000000001137,5.3752,0.004534313619501918,5.371,5.384,0.0129999999999999,10.9528,0.0003999999999997783,10.952,10.953,0.0009999999999994458,141.414,0.0,141.414,141.414,0.0,93.928,0.02400000000000091,93.88,93.94,0.060000000000002274,100.0,0.0,100.0,100.0,0.0
