scenario_id,family,runs,pass,fail,collision,brake,mixed_outcome,first_brake_s_mean,first_brake_s_std,first_brake_s_min,first_brake_s_max,first_brake_s_range,brake_gap_m_mean,brake_gap_m_std,brake_gap_m_min,brake_gap_m_max,brake_gap_m_range,minimum_bumper_gap_m_mean,minimum_bumper_gap_m_std,minimum_bumper_gap_m_min,minimum_bumper_gap_m_max,minimum_bumper_gap_m_range,maximum_deceleration_mps2_mean,maximum_deceleration_mps2_std,maximum_deceleration_mps2_min,maximum_deceleration_mps2_max,maximum_deceleration_mps2_range,maximum_abs_jerk_mps3_mean,maximum_abs_jerk_mps3_std,maximum_abs_jerk_mps3_min,maximum_abs_jerk_mps3_max,maximum_abs_jerk_mps3_range,target_confirmed_rate_pct_mean,target_confirmed_rate_pct_std,target_confirmed_rate_pct_min,target_confirmed_rate_pct_max,target_confirmed_rate_pct_range,radar_target_hazard_match_rate_pct_mean,radar_target_hazard_match_rate_pct_std,radar_target_hazard_match_rate_pct_min,radar_target_hazard_match_rate_pct_max,radar_target_hazard_match_rate_pct_range
prop_barrel_right_1p30,prop,5,5,0,0,0,False,,,,,,,,,,,-46.845,0.0,-46.845,-46.845,0.0,0.0,0.0,0.0,0.0,0.0,127.812,0.0,127.812,127.812,0.0,10.0,0.0,10.0,10.0,0.0,100.0,0.0,100.0,100.0,0.0
prop_barrel_right_1p40,prop,5,5,0,0,0,False,,,,,,,,,,,-46.8448,0.00039999999999906777,-46.845,-46.844,0.0009999999999976694,0.059399999999999994,0.11879999999999999,0.0,0.297,0.297,127.812,0.0,127.812,127.812,0.0,2.5,0.0,2.5,2.5,0.0,100.0,0.0,100.0,100.0,0.0
prop_box_right_1p40,prop,5,5,0,0,0,False,,,,,,,,,,,-46.845,0.0,-46.845,-46.845,0.0,0.0,0.0,0.0,0.0,0.0,127.812,0.0,127.812,127.812,0.0,13.75,0.0,13.75,13.75,0.0,100.0,0.0,100.0,100.0,0.0
prop_box_right_1p50,prop,5,5,0,0,0,False,,,,,,,,,,,-46.845,0.0,-46.845,-46.845,0.0,0.0,0.0,0.0,0.0,0.0,127.812,0.0,127.812,127.812,0.0,7.5,0.0,7.5,7.5,0.0,100.0,0.0,100.0,100.0,0.0
prop_streetbarrier_right_1p30,prop,5,5,0,0,0,False,,,,,,,,,,,-46.845,0.0,-46.845,-46.845,0.0,0.0,0.0,0.0,0.0,0.0,127.812,0.0,127.812,127.812,0.0,8.75,0.0,8.75,8.75,0.0,100.0,0.0,100.0,100.0,0.0
prop_streetbarrier_right_1p40,prop,5,5,0,0,0,False,,,,,,,,,,,-46.845,0.0,-46.845,-46.845,0.0,0.0,0.0,0.0,0.0,0.0,127.812,0.0,127.812,127.812,0.0,6.25,0.0,6.25,6.25,0.0,100.0,0.0,100.0,100.0,0.0
prop_trashcan_left_1p30,prop,5,5,0,0,0,False,,,,,,,,,,,-46.845,0.0,-46.845,-46.845,0.0,0.0,0.0,0.0,0.0,0.0,127.812,0.0,127.812,127.812,0.0,13.75,0.0,13.75,13.75,0.0,100.0,0.0,100.0,100.0,0.0
prop_trashcan_left_1p40,prop,5,5,0,0,0,False,,,,,,,,,,,-46.845,0.0,-46.845,-46.845,0.0,0.0,0.0,0.0,0.0,0.0,127.812,0.0,127.812,127.812,0.0,1.25,0.0,1.25,1.25,0.0,100.0,0.0,100.0,100.0,0.0
