scenario_id,family,runs,pass,fail,collision,brake,mixed_outcome,first_brake_s_mean,first_brake_s_std,first_brake_s_min,first_brake_s_max,first_brake_s_range,brake_gap_m_mean,brake_gap_m_std,brake_gap_m_min,brake_gap_m_max,brake_gap_m_range,minimum_bumper_gap_m_mean,minimum_bumper_gap_m_std,minimum_bumper_gap_m_min,minimum_bumper_gap_m_max,minimum_bumper_gap_m_range,maximum_deceleration_mps2_mean,maximum_deceleration_mps2_std,maximum_deceleration_mps2_min,maximum_deceleration_mps2_max,maximum_deceleration_mps2_range,maximum_abs_jerk_mps3_mean,maximum_abs_jerk_mps3_std,maximum_abs_jerk_mps3_min,maximum_abs_jerk_mps3_max,maximum_abs_jerk_mps3_range,target_confirmed_rate_pct_mean,target_confirmed_rate_pct_std,target_confirmed_rate_pct_min,target_confirmed_rate_pct_max,target_confirmed_rate_pct_range,radar_target_hazard_match_rate_pct_mean,radar_target_hazard_match_rate_pct_std,radar_target_hazard_match_rate_pct_min,radar_target_hazard_match_rate_pct_max,radar_target_hazard_match_rate_pct_range
ccrb_50_gap_60,CCRb,5,5,0,0,5,False,5.05,0.0,5.05,5.05,0.0,20.9088,0.025039169315293902,20.859,20.926,0.06699999999999662,7.9578,0.025063120316512637,7.908,7.975,0.06699999999999928,12.2068,0.07982581036231375,12.152,12.364,0.21200000000000152,242.0804,1.6109422832615683,240.996,245.274,4.277999999999992,37.68,0.0,37.68,37.68,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_50_gap_80,CCRb,5,5,0,0,5,False,6.5,0.0,6.5,6.5,0.0,20.7768,0.001469693845669189,20.774,20.778,0.003999999999997783,7.966,0.0015491933384827962,7.963,7.967,0.0039999999999995595,10.254800000000001,0.2789146105889758,9.912,10.595,0.6829999999999998,204.9512,5.5806037809541715,198.1,211.76,13.659999999999997,31.14,0.0,31.14,31.14,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_65_gap_20,CCRb,5,5,0,0,5,False,2.15,0.0,2.15,2.15,0.0,18.211199999999998,0.0009797958971135984,18.21,18.213,0.0030000000000001137,5.164,0.0015491933384827962,5.163,5.167,0.0039999999999995595,10.66,0.16697544729690078,10.523,10.865,0.3420000000000005,140.9376,7.724424162356707,133.64,150.298,16.658000000000015,97.67,0.0,97.67,97.67,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_65_gap_30,CCRb,5,5,0,0,5,False,2.55,0.0,2.55,2.55,0.0,24.5898,0.0007483314773557029,24.589,24.591,0.0020000000000024443,6.7146,0.0020591260281972077,6.711,6.717,0.005999999999999339,10.9424,0.14770863211065274,10.754,11.117,0.3630000000000013,218.6976,2.954524232427278,214.94,222.196,7.256,93.75,0.0,93.75,93.75,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_65_gap_40,CCRb,5,5,0,0,5,False,3.01,0.019999999999999928,3.0,3.05,0.04999999999999982,28.4346,0.30630808020684,27.822,28.592,0.7699999999999996,7.6452,0.1701180766409027,7.305,7.735,0.4300000000000006,11.7536,0.42113541765090245,10.923,12.039,1.1159999999999997,280.2472,85.05668867855131,235.338,450.32,214.982,94.34,0.0,94.34,94.34,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_65_gap_50,CCRb,5,5,0,0,5,False,3.55,0.0,3.55,3.55,0.0,28.883,0.02900344807087591,28.825,28.898,0.0730000000000004,7.6186,0.03870193793597408,7.599,7.696,0.09699999999999953,10.7376,0.6569312292774642,10.202,12.003,1.8010000000000002,158.262,40.147288506199274,133.64,238.12,104.48000000000002,52.99,0.0,52.99,52.99,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_65_gap_60,CCRb,5,5,0,0,5,False,4.1,0.0,4.1,4.1,0.0,28.967399999999998,0.0004898979485572343,28.967,28.968,0.0010000000000012221,7.6386,0.0008000000000002672,7.637,7.639,0.002000000000000668,10.5672,0.23469247964091242,10.202,10.813,0.6110000000000007,139.1788,4.753856977234388,133.64,145.346,11.706000000000017,46.88,0.0,46.88,46.88,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_65_gap_80,CCRb,5,5,0,0,5,False,5.25,0.0,5.25,5.25,0.0,28.2078,0.0031240998703622493,28.206,28.214,0.007999999999999119,7.2992,0.001939071942966483,7.298,7.303,0.004999999999999893,10.2818,0.0003999999999997783,10.281,10.282,0.0009999999999994458,177.15040000000002,4.509306536486519,170.552,182.866,12.314000000000021,40.4,0.0,40.4,40.4,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_80_gap_20,CCRb,5,5,0,0,5,False,2.1,0.0,2.1,2.1,0.0,18.5744,0.022132329294495635,18.556,18.602,0.045999999999999375,1.9664,0.022177466041006597,1.936,1.994,0.05800000000000005,11.100800000000001,0.0004000000000004889,11.1,11.101,0.0010000000000012221,141.414,0.0,141.414,141.414,0.0,97.83,0.0,97.83,97.83,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_80_gap_30,CCRb,5,5,0,0,5,False,2.4,0.0,2.4,2.4,0.0,26.104,0.0161245154965968,26.093,26.136,0.04299999999999926,5.3694,0.02786108397029813,5.319,5.405,0.0860000000000003,10.9528,0.0003999999999997783,10.952,10.953,0.0009999999999994458,146.25879999999998,9.943516126602303,140.91,166.142,25.232,93.916,0.02939387691339925,93.88,93.94,0.060000000000002274,100.0,0.0,100.0,100.0,0.0
ccrb_80_gap_40,CCRb,5,5,0,0,5,False,2.7,0.0,2.7,2.7,0.0,32.6468,0.009152048950917393,32.641,32.665,0.02400000000000091,7.2846,0.018423897524682542,7.257,7.301,0.04400000000000048,12.3924,0.2156539821102313,12.207,12.7,0.49299999999999855,245.8444,4.3358447204668265,242.032,252.044,10.012,94.34,0.0,94.34,94.34,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_80_gap_50,CCRb,5,5,0,0,5,False,3.0,0.0,3.0,3.0,0.0,38.074,0.000894427191001009,38.073,38.075,0.0020000000000024443,8.7562,0.001939071942966043,8.753,8.758,0.004999999999999005,10.8388,0.4226996096520557,10.378,11.377,0.9990000000000006,148.7472,9.043560325447059,141.414,161.422,20.00800000000001,94.74,0.0,94.74,94.74,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_80_gap_60,CCRb,5,5,0,0,5,False,3.4,0.0,3.4,3.4,0.0,40.272600000000004,0.0004898979485589748,40.272,40.273,0.0010000000000047748,8.9358,0.0014696938456697692,8.933,8.937,0.0039999999999995595,10.5948,0.22823882228928563,10.235,10.926,0.6910000000000007,141.414,0.0,141.414,141.414,0.0,56.91,0.0,56.91,56.91,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_80_gap_80,CCRb,5,5,0,0,5,False,4.3,0.0,4.3,4.3,0.0,40.269800000000004,0.03290227955628612,40.204,40.287,0.08299999999999841,8.8848,0.028102668912400718,8.87,8.941,0.0710000000000015,10.3822,0.22992990236156727,10.147,10.758,0.6109999999999989,141.414,0.0,141.414,141.414,0.0,45.39,0.0,45.39,45.39,0.0,100.0,0.0,100.0,100.0,0.0
