scenario_id,family,runs,pass,fail,collision,brake,mixed_outcome,first_brake_s_mean,first_brake_s_std,first_brake_s_min,first_brake_s_max,first_brake_s_range,brake_gap_m_mean,brake_gap_m_std,brake_gap_m_min,brake_gap_m_max,brake_gap_m_range,minimum_bumper_gap_m_mean,minimum_bumper_gap_m_std,minimum_bumper_gap_m_min,minimum_bumper_gap_m_max,minimum_bumper_gap_m_range,maximum_deceleration_mps2_mean,maximum_deceleration_mps2_std,maximum_deceleration_mps2_min,maximum_deceleration_mps2_max,maximum_deceleration_mps2_range,maximum_abs_jerk_mps3_mean,maximum_abs_jerk_mps3_std,maximum_abs_jerk_mps3_min,maximum_abs_jerk_mps3_max,maximum_abs_jerk_mps3_range,target_confirmed_rate_pct_mean,target_confirmed_rate_pct_std,target_confirmed_rate_pct_min,target_confirmed_rate_pct_max,target_confirmed_rate_pct_range,radar_target_hazard_match_rate_pct_mean,radar_target_hazard_match_rate_pct_std,radar_target_hazard_match_rate_pct_min,radar_target_hazard_match_rate_pct_max,radar_target_hazard_match_rate_pct_range
ccrb_110_gap_20,CCRb,3,0,3,3,3,False,2.1,0.0,2.1,2.1,0.0,18.593,0.02051016008388683,18.564,18.608,0.04400000000000048,0.03166666666666667,0.034883934538536346,0.007,0.081,0.074,251.928,0.9074208872770397,250.645,252.593,1.947999999999979,4820.164666666667,18.147270599795974,4794.506,4833.452,38.94599999999991,95.06,0.0,95.06,95.06,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_110_gap_30,CCRb,3,3,0,0,3,False,2.25,0.0,2.25,2.25,0.0,27.465666666666667,0.019396448701300927,27.45,27.493,0.04299999999999926,1.6686666666666667,0.01721110752456749,1.656,1.693,0.037000000000000144,11.982,0.0,11.982,11.982,0.0,229.44866666666667,1.2525305939931703,228.176,231.152,2.975999999999999,94.39,0.0,94.39,94.39,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_110_gap_40,CCRb,3,3,0,0,3,False,2.45,0.0,2.45,2.45,0.0,35.55466666666667,0.00047140452078993307,35.554,35.555,0.0009999999999976694,4.177,0.0008164965809276362,4.176,4.178,0.0019999999999997797,11.968,0.0,11.968,11.968,0.0,221.59133333333332,9.600271848002823,208.042,229.114,21.072000000000003,94.64,0.0,94.64,94.64,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_110_gap_50,CCRb,3,3,0,0,3,False,2.65,0.0,2.65,2.65,0.0,43.12533333333333,0.000942809041579866,43.124,43.126,0.001999999999995339,6.4446666666666665,0.004784233364802533,6.438,6.449,0.01100000000000012,12.894,0.03329664647778652,12.868,12.941,0.0730000000000004,255.79,0.7444747589184257,255.198,256.84,1.6419999999999675,94.87,0.0,94.87,94.87,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_110_gap_60,CCRb,3,3,0,0,3,False,2.85,0.0,2.85,2.85,0.0,50.14366666666667,0.0012472191289242724,50.142,50.145,0.0030000000000001137,8.229,0.002449489742782546,8.226,8.232,0.005999999999998451,11.889333333333333,0.00047140452079160784,11.889,11.89,0.0010000000000012221,142.5713333333333,12.189726968047955,128.914,158.51,29.596000000000004,95.12,0.0,95.12,95.12,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_110_gap_80,CCRb,3,3,0,0,3,False,3.25,0.0,3.25,3.25,0.0,62.49766666666667,0.00047140452078993307,62.497,62.498,0.0009999999999976694,10.500333333333334,0.0004714045207907704,10.5,10.501,0.0009999999999994458,11.146,0.0,11.146,11.146,0.0,140.29466666666667,7.912716235416387,132.996,151.29,18.293999999999983,61.59,0.0,61.59,61.59,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_50_gap_20,CCRb,3,3,0,0,3,False,2.3,0.0,2.3,2.3,0.0,17.002333333333333,0.00047140452079160784,17.002,17.003,0.0010000000000012221,6.928,0.002160246899469323,6.926,6.931,0.004999999999999893,11.031666666666668,0.16806017440852025,10.816,11.226,0.41000000000000014,220.48733333333334,3.357950697804973,216.178,224.37,8.192000000000007,97.56,0.0,97.56,97.56,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_50_gap_30,CCRb,3,3,0,0,3,False,2.95,0.0,2.95,2.95,0.0,20.092,0.002160246899468638,20.09,20.095,0.004999999999999005,7.391666666666667,0.0020548046676562913,7.389,7.394,0.004999999999999893,9.855,0.0,9.855,9.855,0.0,152.77266666666668,4.863998446637173,146.978,158.88,11.901999999999987,93.75,0.0,93.75,93.75,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_50_gap_40,CCRb,3,3,0,0,3,False,3.65,0.0,3.65,3.65,0.0,20.348333333333333,0.02781286672666969,20.309,20.368,0.0589999999999975,7.537333333333334,0.027812866726670948,7.498,7.557,0.05900000000000016,10.036000000000001,0.26162950903902243,9.851,10.406,0.5549999999999997,195.668,8.989922802783127,186.772,207.982,21.210000000000008,50.0,0.0,50.0,50.0,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_50_gap_50,CCRb,3,3,0,0,3,False,4.35,0.0,4.35,4.35,0.0,20.642666666666667,0.00047140452079160784,20.642,20.643,0.0010000000000012221,7.831333333333333,0.0004714045207907704,7.831,7.832,0.0009999999999994458,10.003666666666668,0.11429882861264197,9.851,10.126,0.2749999999999986,196.57866666666666,6.9378448783145545,186.824,202.37,15.545999999999992,42.74,0.0,42.74,42.74,0.0,100.0,0.0,100.0,100.0,0.0
